Solyc09g089530.3	GO:0050660
Solyc08g059710.3	GO:0005524
Solyc09g010230.2	GO:0005515
Solyc11g072600.2	GO:0003723; GO:0003743; GO:0006413
Solyc12g088040.2	GO:0046982
Solyc06g074760.2	GO:0005618; GO:0030599; GO:0042545
Solyc11g027760.1	GO:0008270; GO:0016787
Solyc05g006550.3	GO:0046983
Solyc09g010060.3	GO:0016021; GO:0022857; GO:0055085
Solyc05g051500.3	GO:0005488
Solyc11g012060.1	GO:0005506; GO:0016705; GO:0020037; GO:0055114
Solyc06g061010.3	GO:0005515
Solyc11g065770.1	GO:0008270
Solyc07g043170.3	GO:0005515
Solyc03g096050.3	GO:0003700; GO:0006355; GO:0043565
Solyc08g007790.3	GO:0019781; GO:0045116
Solyc12g015800.2	GO:0005488
Solyc02g085510.1	GO:0004672; GO:0006468
Solyc01g100530.3	GO:0004672; GO:0005524; GO:0006468
Solyc11g068560.2	GO:0030001; GO:0046872
Solyc12g049300.2	GO:0005515
Solyc08g006490.2	GO:0005524
Solyc04g077690.2	GO:0004601; GO:0006979; GO:0020037; GO:0055114
Solyc08g007570.3	GO:0016881
Solyc06g082080.3	GO:0003735; GO:0005622; GO:0005840; GO:0006412
Solyc05g007760.1	GO:0006511
Solyc03g098060.2	GO:0005515
Solyc02g079350.3	GO:0005515
Solyc06g066370.3	GO:0003677
Solyc09g007830.3	GO:0005975
Solyc03g118450.1	GO:0005524
Solyc03g083650.3	GO:0004672; GO:0006468
Solyc03g061620.1	GO:0005506; GO:0016705; GO:0020037; GO:0055114
Solyc10g085740.2	GO:0005515
Solyc04g077830.2	GO:0016020; GO:0022904
Solyc10g046920.1	GO:0003677
Solyc01g098140.3	GO:0003824; GO:0005524
Solyc07g045010.3	GO:0004672; GO:0006468
Solyc06g072830.3	GO:0004650; GO:0005975
Solyc03g096800.3	GO:0005515; GO:0008270
Solyc06g060360.3	GO:0004553; GO:0005975
Solyc03g118870.3	GO:0005975
Solyc00g011170.1	GO:0008152; GO:0016758
Solyc10g085070.2	GO:0005488
Solyc04g064740.3	GO:0055085
Solyc11g065190.2	GO:0005524
Solyc08g078190.1	GO:0009790
Solyc12g010730.2	GO:0046983
Solyc05g014270.3	GO:0006614
Solyc04g080490.3	GO:0003677; GO:0003899; GO:0006351
Solyc05g005060.3	GO:0043531
Solyc03g058910.3	GO:0005975
Solyc07g006110.3	GO:0003676; GO:0005524; GO:0005634; GO:0006338; GO:0016818
Solyc11g068890.1	GO:0005515; GO:0008270
Solyc11g021060.2	GO:0003989; GO:0006633; GO:0009317
Solyc11g027690.1	GO:0003677; GO:0006355
Solyc10g076660.2	GO:0003700; GO:0006355; GO:0008270; GO:0043565
Solyc05g016060.3	GO:0005515
Solyc06g067980.3	GO:0005515
Solyc05g009380.3	GO:0005524
Solyc01g099270.2	GO:0006855; GO:0015238; GO:0015297; GO:0016020; GO:0055085
Solyc06g083710.2	GO:0006511; GO:0031625
Solyc08g082160.3	GO:0004190; GO:0006508
Solyc08g074650.3	GO:0005525
Solyc07g042560.3	GO:0003677; GO:0005634
Solyc06g049020.1	GO:0046983
Solyc09g008380.3	GO:0003899
Solyc01g007955.1	GO:0008137; GO:0042773; GO:0055114
Solyc07g007730.3	GO:0003700; GO:0006355
Solyc04g078690.3	GO:0003735; GO:0005622; GO:0005840; GO:0006412; GO:0019843
Solyc04g014520.1	GO:0009521; GO:0009767; GO:0016020; GO:0016168; GO:0019684
Solyc01g087200.3	GO:0004842; GO:0008270; GO:0016567
Solyc06g065450.3	GO:0003677; GO:0046983
Solyc01g095240.3	GO:0000155; GO:0007165
Solyc09g008080.3	GO:0005515
Solyc00g018970.1	GO:0005524
Solyc02g079870.3	GO:0004601; GO:0055114
Solyc03g121680.2	GO:0000413; GO:0003755; GO:0006457
Solyc06g024386.1	GO:0004335; GO:0005524; GO:0006012; GO:0046835
Solyc01g080380.3	GO:0017108; GO:0033567; GO:0043142
Solyc06g024210.2	GO:0016491; GO:0055114
Solyc08g066840.3	GO:0016310; GO:0016772
Solyc02g062385.1	GO:0005737; GO:0006559; GO:0016841
Solyc03g070440.3	GO:0005975
Solyc03g113860.2	GO:0004601; GO:0006979; GO:0020037; GO:0055114
Solyc04g071030.1	GO:0005515
Solyc04g077230.1	GO:0046983
Solyc06g075640.2	GO:0055114
Solyc04g079730.1	GO:0003677; GO:0003899; GO:0006351
Solyc11g065930.2	GO:0005515
Solyc06g084090.3	GO:0006511; GO:0031625
Solyc00g010525.1	GO:0008152; GO:0016758
Solyc11g051200.1	GO:0004842; GO:0016567
Solyc03g006490.3	GO:0016020; GO:0022891; GO:0055085
Solyc03g025790.3	GO:0005838
Solyc06g005910.3	GO:0003676; GO:0005524
Solyc12g049400.2	GO:0006662; GO:0015035; GO:0045454
Solyc12g044370.2	GO:0005515
Solyc06g060710.3	GO:0005975
Solyc07g038160.3	GO:0004601; GO:0042744
Solyc07g055180.3	GO:0003677
Solyc03g121760.3	GO:0003677
Solyc00g164680.2	GO:0016021; GO:0022857; GO:0055085
Solyc02g077430.3	GO:0004584; GO:0006506
Solyc12g096820.1	GO:0000166
Solyc09g014380.3	GO:0006396
Solyc01g112000.3	GO:0000287
Solyc01g109430.3	GO:0000287; GO:0010333; GO:0016829
Solyc00g068980.2	GO:0005515; GO:0008270
Solyc04g008920.1	GO:0000166; GO:0046872
Solyc10g078330.2	GO:0005576
Solyc01g006100.3	GO:0046856
Solyc05g009230.2	GO:0003723
Solyc03g097820.2	GO:0032324
Solyc12g088050.2	GO:0016021; GO:0055085
Solyc08g074950.2	GO:0000165; GO:0000977; GO:0045944
Solyc02g083310.3	GO:0016491; GO:0055114
Solyc02g030120.2	GO:0005524; GO:0016887
Solyc00g011160.2	GO:0008152; GO:0016758
Solyc09g061793.1	GO:0005515; GO:0008270
Solyc03g117270.1	GO:0009733
Solyc09g010810.3	GO:0046982
Solyc09g083360.3	GO:0003676
Solyc06g068360.3	GO:0006355; GO:0008270
Solyc03g006650.2	GO:0006662; GO:0015035; GO:0045454
Solyc02g077250.2	GO:0016765
Solyc01g109610.3	GO:0016491; GO:0055114
Solyc07g020800.3	GO:0003676; GO:0005634; GO:0008270
Solyc02g036370.3	GO:0003677; GO:0006355
Solyc07g053820.3	GO:0003824; GO:0051536
Solyc09g090350.3	GO:0009055; GO:0051536
Solyc03g115050.3	GO:0003729; GO:0005849; GO:0006378
Solyc07g066540.1	GO:0006629
Solyc12g088220.2	GO:0003676
Solyc10g005480.3	GO:0005515
Solyc03g044710.3	GO:0016020; GO:0030001; GO:0046873; GO:0055085
Solyc11g027670.1	GO:0005515
Solyc03g082450.3	GO:0005515; GO:0007165
Solyc12g088890.2	GO:0000166
Solyc09g090730.2	GO:0050660
Solyc11g027770.1	GO:0008703; GO:0009231; GO:0055114
Solyc02g093430.3	GO:0005525
Solyc02g093860.3	GO:0003735; GO:0005622; GO:0005840; GO:0006412
Solyc02g086690.3	GO:0003700; GO:0006355
Solyc03g117730.3	GO:0016491; GO:0055114
Solyc02g071520.3	GO:0045454
Solyc06g072730.3	GO:0043531
Solyc01g008530.3	GO:0016651; GO:0048038; GO:0051287; GO:0055114
Solyc02g077090.3	GO:0005515
Solyc08g006550.3	GO:0005978; GO:0008878
Solyc12g095750.2	GO:0004827; GO:0005524; GO:0005737; GO:0006433
Solyc09g009540.3	GO:0003676
Solyc06g009710.3	GO:0016491; GO:0055114
Solyc08g080980.3	GO:0005515
Solyc02g088460.3	GO:0004842; GO:0016567
Solyc06g064820.3	GO:0000165; GO:0000977; GO:0045944
Solyc03g119110.3	GO:0005506; GO:0016705; GO:0020037; GO:0055114
Solyc03g025470.3	GO:0005515
Solyc01g066430.3	GO:0005525
Solyc07g008600.1	GO:0005774; GO:0005886; GO:0006814; GO:0009651; GO:0055075
Solyc07g056160.3	GO:0005515
Solyc11g056360.2	GO:0005506; GO:0016705; GO:0020037; GO:0055114
Solyc12g056590.2	GO:0003676
Solyc01g105360.3	GO:0016020; GO:0055114
Solyc09g090980.3	GO:0016491; GO:0055114
Solyc02g069630.3	GO:0005515
Solyc09g090680.3	GO:0016491; GO:0055114
Solyc02g079360.2	GO:0005634; GO:0018024
Solyc08g075710.3	GO:0005524; GO:0006605; GO:0006886
Solyc02g071740.3	GO:0004842; GO:0016567
Solyc10g084290.2	GO:0005086; GO:0032012
Solyc05g015800.3	GO:0008152; GO:0016758
Solyc12g096250.2	GO:0005215; GO:0006810; GO:0016020
Solyc05g005240.2	GO:0003824; GO:0008152
Solyc06g070960.2	GO:0008137; GO:0042773; GO:0055114
Solyc02g090500.3	GO:0005198; GO:0006886; GO:0016192; GO:0030126
Solyc10g008930.1	GO:0016757
Solyc06g074390.3	GO:0005618; GO:0030599; GO:0042545
Solyc01g102980.3	GO:0046872
Solyc03g120450.3	GO:0004553; GO:0005975
Solyc08g063045.1	GO:0004722; GO:0006470
Solyc00g009760.2	GO:0016021
Solyc02g069910.2	GO:0007017; GO:0030286
Solyc03g080180.3	GO:0004623; GO:0006644; GO:0050482
Solyc11g010710.2	GO:0016491; GO:0055114
Solyc05g007230.3	GO:0006511
Solyc02g082120.3	GO:0004674
Solyc06g005500.3	GO:0005509
Solyc11g008200.1	GO:0003824
Solyc07g052490.3	GO:0003993; GO:0046872
Solyc01g058500.3	GO:0015232; GO:0015886; GO:0016020; GO:0017004
Solyc01g108670.3	GO:0016491; GO:0055114
Solyc11g006430.1	GO:0000166
Solyc04g051690.3	GO:0004525; GO:0006396
Solyc03g118480.3	GO:0004014; GO:0006597; GO:0008295
Solyc05g015490.3	GO:0005524; GO:0009507
Solyc10g080090.2	GO:0004857
Solyc06g066750.3	GO:0005524
Solyc03g006770.3	GO:0045454
Solyc01g094840.3	GO:0016021; GO:0022857
Solyc01g107590.3	GO:0003700; GO:0006355
Solyc10g084150.2	GO:0003677; GO:0004003; GO:0006303
Solyc01g107650.3	GO:0003700; GO:0006355
Solyc11g013220.2	GO:0003824; GO:0004488; GO:0009396; GO:0055114
Solyc07g065530.1	GO:0006508; GO:0008236
Solyc01g107060.2	GO:0005215; GO:0006810; GO:0016020
Solyc06g005850.3	GO:0003676
Solyc07g006500.3	GO:0005618; GO:0030599; GO:0042545
Solyc07g063080.3	GO:0016788
Solyc02g081980.3	GO:0004672; GO:0005524; GO:0006468
Solyc11g027710.1	GO:0003824
Solyc03g117580.3	GO:0016810
Solyc00g068970.2	GO:0006952; GO:0016021
Solyc12g010420.1	GO:0005515
Solyc10g080430.1	GO:0000139; GO:0005801; GO:0006888; GO:0016021
Solyc01g068250.2	GO:0008152; GO:0016787
Solyc05g052280.3	GO:0016651; GO:0042773; GO:0055114
Solyc09g014240.3	GO:0003676
Solyc05g008860.3	GO:0006396
Solyc03g113870.1	GO:0004601; GO:0042744
Solyc03g117860.3	GO:0016787
Solyc08g079600.3	GO:0046983
Solyc05g055990.3	GO:0003777; GO:0005524; GO:0007018; GO:0008017
Solyc05g009610.1	GO:0000723; GO:0003678; GO:0006281
Solyc05g005810.3	GO:0009522; GO:0015979; GO:0016021; GO:0046872
Solyc04g078770.3	GO:0008137; GO:0042773; GO:0055114
Solyc03g032110.2	GO:0009055; GO:0051536
Solyc06g084450.3	GO:0006511; GO:0031625
Solyc05g054590.3	GO:0005515
Solyc07g061750.3	GO:0004553; GO:0005975
Solyc06g062800.3	GO:0003676
Solyc12g006050.2	GO:0004386
Solyc07g054850.3	GO:0005515; GO:0008270
Solyc05g023680.3	GO:0004222; GO:0006508; GO:0016020
Solyc02g090350.3	GO:0004674; GO:0005524
Solyc08g065870.3	GO:0005515; GO:0008270
Solyc09g011330.2	GO:0001510; GO:0008168
Solyc08g074680.3	GO:0016817
Solyc03g025460.3	GO:0003676
Solyc00g012440.1	GO:0004801; GO:0005737; GO:0006098
Solyc00g011150.1	GO:0005488
Solyc01g109750.2	GO:0016020
Solyc08g006100.3	GO:0004722; GO:0006470
Solyc08g080830.3	GO:0005509
Solyc09g010670.3	GO:0003677
Solyc07g045450.1	GO:0002098
Solyc10g078380.2	GO:0046872
Solyc06g075510.3	GO:0003924; GO:0005525
Solyc04g071660.3	GO:0004525; GO:0006396
Solyc01g006380.2	GO:0000723; GO:0003678; GO:0006281
Solyc12g008740.1	GO:0004144
Solyc02g077390.2	GO:0005515
Solyc09g011690.3	GO:0005515
Solyc09g009580.3	GO:0000786; GO:0003677
Solyc08g076350.3	GO:0006605; GO:0006886; GO:0016020
Solyc01g007800.3	GO:0005515
Solyc05g013810.3	GO:0006614
Solyc08g042010.3	GO:0009263
Solyc04g015030.3	GO:0004525; GO:0006396
Solyc02g083850.3	GO:0016491; GO:0055114
Solyc03g006830.3	GO:0004152; GO:0006207; GO:0016020; GO:0055114
Solyc04g025650.3	GO:0008152; GO:0016491; GO:0055114
Solyc01g108240.3	GO:0016747
Solyc02g088820.3	GO:0004842; GO:0016567
Solyc07g054300.3	GO:0006099; GO:0046912
Solyc03g043870.3	GO:0003951; GO:0006741; GO:0008152
Solyc02g085440.3	GO:0005515; GO:0008270
Solyc03g013160.3	GO:0005524; GO:0046872
Solyc01g091000.3	GO:0004871; GO:0007165; GO:0016021
Solyc11g011350.2	GO:0008289
Solyc11g066160.1	GO:0004222; GO:0006508
Solyc01g111340.3	GO:0003677; GO:0005634; GO:0006355; GO:0009725
Solyc02g072240.3	GO:0005515
Solyc11g073210.2	GO:0004672; GO:0005524; GO:0006468
Solyc01g060200.2	GO:0005488
Solyc03g005960.3	GO:0005515
Solyc12g042760.1	GO:0003677; GO:0003899; GO:0006351
Solyc06g061230.3	GO:0005525
Solyc07g063560.3	GO:0016757
Solyc01g091540.2	GO:0000166
Solyc06g073037.1	GO:0008152; GO:0016758
Solyc07g042520.3	GO:0003824; GO:0050662
Solyc01g067420.3	GO:0005737; GO:0006518; GO:0008270; GO:0045148
Solyc06g063085.1	GO:0031047
Solyc10g007103.1	GO:0005524
Solyc01g007170.3	GO:0005524; GO:0005737; GO:0008152; GO:0016301; GO:0016773
Solyc04g008500.3	GO:0005515
Solyc02g081120.3	GO:0005515
Solyc02g088200.3	GO:0004842; GO:0016567
Solyc03g115380.2	GO:0004650; GO:0005975
Solyc06g074030.1	GO:0016627; GO:0055114
Solyc05g007980.3	GO:0006508; GO:0008234
Solyc11g007330.2	GO:0003677; GO:0003824
Solyc04g050730.3	GO:0004525; GO:0006396
Solyc08g076390.3	GO:0008495; GO:0016021; GO:0048034
Solyc01g010150.3	GO:0005524; GO:0006298; GO:0030983
Solyc01g091840.3	GO:0017004; GO:0020037
Solyc12g017230.2	GO:0005515
Solyc10g086350.2	GO:0005515; GO:0008270
Solyc12g006230.2	GO:0003676; GO:0005524
Solyc01g107050.3	GO:0004514; GO:0009435
Solyc11g067180.2	GO:0016301
Solyc02g069390.2	GO:0005509
Solyc07g054270.3	GO:0004108; GO:0006101
Solyc12g006790.2	GO:0005515; GO:0008270
Solyc07g061740.3	GO:0046982
Solyc09g082550.3	GO:0008757
Solyc04g074050.3	GO:0004672; GO:0005524; GO:0006468
Solyc03g080075.1	GO:0005524
Solyc01g091230.3	GO:0015986; GO:0045261; GO:0046933
Solyc06g070950.2	GO:0016655; GO:0055114
Solyc06g050560.3	GO:0000166
Solyc04g016080.2	GO:0004525; GO:0006396
Solyc00g145170.2	GO:0009555
Solyc06g065630.3	GO:0005515
Solyc11g008440.2	GO:0004252; GO:0006508
Solyc03g111665.1	GO:0005849; GO:0031124
Solyc11g069540.2	GO:0009269
Solyc01g088680.3	GO:0005622; GO:0008270
Solyc11g066580.2	GO:0005524
Solyc06g061080.3	GO:0005488
Solyc05g013680.3	GO:0003746; GO:0006414
Solyc06g005000.3	GO:0003989; GO:0006633; GO:0009317
Solyc01g105370.3	GO:0005509
Solyc04g080710.3	GO:0003677; GO:0003899; GO:0006351
Solyc10g005320.3	GO:0009116
Solyc04g072920.3	GO:0003677
Solyc10g079730.2	GO:0000139; GO:0005801; GO:0006888; GO:0016021
Solyc11g008700.2	GO:0003723
Solyc01g109270.3	GO:0004672; GO:0006468
Solyc02g030460.2	GO:0009522; GO:0015979; GO:0016021; GO:0046872
Solyc07g008570.3	GO:0005515
Solyc06g075610.1	GO:0003857; GO:0006631; GO:0016491; GO:0055114
Solyc04g053145.1	GO:0008152; GO:0016491; GO:0016620; GO:0055114
Solyc02g067040.3	GO:0046872
Solyc09g010993.1	GO:0046983
Solyc09g072820.3	GO:0003824; GO:0050662
Solyc07g052207.1	GO:0005515
Solyc03g120910.3	GO:0005506; GO:0016705; GO:0020037; GO:0055114
Solyc05g014710.3	GO:0003824
Solyc05g052530.2	GO:0005215; GO:0006810; GO:0016020
Solyc08g081820.3	GO:0005524; GO:0006457; GO:0009408; GO:0051082
Solyc09g018900.2	GO:0003677; GO:0016602
Solyc11g069250.2	GO:0019789
Solyc09g009700.3	GO:0003677
Solyc10g007100.3	GO:0004672; GO:0006468
Solyc10g008450.1	GO:0000166
Solyc09g082490.3	GO:0000165; GO:0000977; GO:0045944
Solyc09g031910.2	GO:0003824
Solyc07g066010.3	GO:0005515
Solyc06g084430.3	GO:0006511; GO:0031625
Solyc10g005400.3	GO:0003676
Solyc12g005640.2	GO:0046982
Solyc01g098985.1	GO:0005525
Solyc06g075930.1	GO:0003924; GO:0005525
Solyc01g106500.3	GO:0006260; GO:0055114
Solyc11g042880.2	GO:0016491; GO:0055114
Solyc12g042480.2	GO:0005524
Solyc06g070900.3	GO:0008137; GO:0042773; GO:0055114
Solyc07g043070.3	GO:0004896; GO:0016020
Solyc03g083010.3	GO:0005507; GO:0005576
Solyc04g074400.1	GO:0003700; GO:0006355
Solyc11g012290.2	GO:0016705; GO:0055114
Solyc11g027630.1	GO:0003779; GO:0005622
Solyc01g009860.3	GO:0006614
Solyc04g074830.1	GO:0003677
Solyc09g008000.3	GO:0005515
Solyc09g072610.3	GO:0008152; GO:0008168
Solyc12g096800.1	GO:0032266; GO:0043130
Solyc11g005640.2	GO:0005515
Solyc03g005620.3	GO:0035556
Solyc05g005010.3	GO:0016846
Solyc08g068770.2	GO:0005524; GO:0009507
Solyc08g036620.3	GO:0008033
Solyc05g009420.1	GO:0005524; GO:0005737; GO:0006457
Solyc07g049680.3	GO:0003677; GO:0004518; GO:0006259
Solyc04g074820.2	GO:0003700; GO:0006355
Solyc02g093870.3	GO:0006412
Solyc02g085600.1	GO:0005515
Solyc01g079140.2	GO:0004349; GO:0005737; GO:0006561
Solyc03g096890.2	GO:0016114; GO:0050515
Solyc08g063040.3	GO:0003824
Solyc01g109700.3	GO:0016614; GO:0050660; GO:0055114
Solyc06g075020.3	GO:0003677; GO:0046983
Solyc03g083900.3	GO:0007165
Solyc07g023990.2	GO:0008270
Solyc07g049370.2	GO:0003677; GO:0004518
Solyc03g005900.3	GO:0005524
Solyc08g077450.3	GO:0005506; GO:0016705; GO:0020037; GO:0055114
Solyc02g072500.3	GO:0005515
Solyc06g083480.3	GO:0006511; GO:0031461; GO:0031625
Solyc03g114120.3	GO:0003950
Solyc06g060320.3	GO:0006950
Solyc09g075070.3	GO:0004252; GO:0006508
Solyc07g063030.2	GO:0006820; GO:0016021
Solyc09g074550.3	GO:0004252; GO:0006508
Solyc05g011960.3	GO:0003677
Solyc04g074330.3	GO:0003677
Solyc12g005800.2	GO:0003676; GO:0005524
Solyc11g068515.1	GO:0003677
Solyc03g121870.3	GO:0003700; GO:0006355; GO:0043565
Solyc07g009230.3	GO:0005789
Solyc04g007500.1	GO:0003677
Solyc02g067700.1	GO:0004842; GO:0016567
Solyc02g093760.3	GO:0003676; GO:0004523
Solyc03g044090.3	GO:0005385; GO:0016021; GO:0071577
Solyc02g090490.3	GO:0005488
Solyc09g098420.2	GO:0016628; GO:0055114
Solyc08g043140.3	GO:0016787
Solyc01g058720.3	GO:0005515; GO:0008270
Solyc11g072280.2	GO:0005515
Solyc12g098200.2	GO:0005515
Solyc02g063250.3	GO:0005524; GO:0016887
Solyc02g071810.3	GO:0008270
Solyc06g005560.3	GO:0003676
Solyc06g071480.3	GO:0004722; GO:0006470
Solyc12g056480.2	GO:0030008; GO:0048193
Solyc05g051710.3	GO:0005515
Solyc02g081770.1	GO:0048544
Solyc02g090390.3	GO:0004674; GO:0005524; GO:0006468
Solyc10g006130.1	GO:0003735; GO:0005622; GO:0005840; GO:0006412
Solyc10g006440.3	GO:0005215; GO:0016021
Solyc07g053300.1	GO:0003735; GO:0005840; GO:0006412
Solyc02g063330.3	GO:0016491; GO:0055114
Solyc06g048850.3	GO:0046983
Solyc06g083040.3	GO:0004672; GO:0005524; GO:0006468
Solyc04g082900.3	GO:0003735; GO:0005622; GO:0005840; GO:0006412
Solyc01g080790.3	GO:0008658
Solyc02g081150.1	GO:0008270; GO:0016491; GO:0055114
Solyc11g065360.2	GO:0005515; GO:0008270
Solyc04g014640.1	GO:0004144; GO:0045017
Solyc07g041770.1	GO:0003824
Solyc01g007200.2	GO:0046872
Solyc02g086683.1	GO:0008270
Solyc08g076370.3	GO:0006886; GO:0006888; GO:0008270; GO:0030127
Solyc11g073010.1	GO:0005975; GO:0016853
Solyc04g014690.3	GO:0009521; GO:0009767; GO:0016020; GO:0016168; GO:0019684
Solyc11g006910.2	GO:0000154; GO:0000179; GO:0008649
Solyc11g056640.2	GO:0004124; GO:0005739; GO:0019499; GO:0050017
Solyc08g005870.2	GO:0042393
Solyc01g105650.3	GO:0019069
Solyc10g079910.2	GO:0004857
Solyc09g015450.3	GO:0003677; GO:0003721
Solyc00g012430.1	GO:0003824
Solyc08g008410.3	GO:0004190; GO:0006508
Solyc08g048290.3	GO:0004672; GO:0005524; GO:0006468
Solyc10g080540.2	GO:0016813; GO:0046872
Solyc10g054440.2	GO:0005524; GO:0006457; GO:0009408; GO:0051082
Solyc09g056360.3	GO:0005515; GO:0008270
Solyc11g073130.2	GO:0000139; GO:0005351; GO:0008643; GO:0016021
Solyc08g080180.1	GO:0004553; GO:0005975
Solyc02g090450.3	GO:0005524
Solyc09g090630.2	GO:0016491; GO:0046872; GO:0055114
Solyc08g067000.3	GO:0004672; GO:0006468
Solyc02g078130.3	GO:0009966
Solyc01g009565.1	GO:0005634; GO:0006351; GO:0010338
Solyc07g055670.1	GO:0007049; GO:0017053
Solyc01g010250.3	GO:0003723; GO:0006396; GO:0008173
Solyc06g006000.3	GO:0005515
Solyc11g069210.2	GO:0006508; GO:0008233
Solyc01g087740.1	GO:0006508; GO:0008234
Solyc07g062120.3	GO:0004553; GO:0005975
Solyc05g050560.1	GO:0003824
Solyc07g008100.3	GO:0006351; GO:0007049; GO:0017053
Solyc07g008620.1	GO:0006812; GO:0015299; GO:0016021
Solyc10g049600.2	GO:0005515
Solyc08g005630.3	GO:0005515
Solyc10g079350.2	GO:0005789
Solyc09g009210.3	GO:0031072; GO:0051082
Solyc11g065220.2	GO:0048544
Solyc06g074040.1	GO:0004857
Solyc10g084320.2	GO:0005488
Solyc07g007610.2	GO:0005525
Solyc01g106060.3	GO:0003824; GO:0009116
Solyc02g067850.2	GO:0046872
Solyc10g081980.2	GO:0006904; GO:0016192
Solyc10g084000.2	GO:0000226; GO:0000910; GO:0008017
Solyc10g078440.1	GO:0003676; GO:0008270
Solyc09g062980.1	GO:0004722; GO:0006470
Solyc04g074320.2	GO:0004672; GO:0006468
Solyc06g007580.1	GO:0004671; GO:0006481; GO:0016021
Solyc09g010240.2	GO:0043531
Solyc01g098240.2	GO:0005524
Solyc08g078180.1	GO:0006144; GO:0033971
Solyc02g068680.1	GO:0005525
Solyc02g087450.3	GO:0016020
Solyc09g091260.3	GO:0003824; GO:0016614; GO:0050660; GO:0055114
Solyc05g050870.3	GO:0003824
Solyc12g006240.2	GO:0003824; GO:0008152
Solyc00g010530.1	GO:0003677
Solyc01g006680.3	GO:0004722; GO:0006470
Solyc01g111610.3	GO:0004672; GO:0006468
Solyc02g067100.3	GO:0005543
Solyc05g005770.3	GO:0009522; GO:0009579; GO:0015979; GO:0016021
Solyc04g016200.1	GO:0004525; GO:0006396
Solyc10g086680.1	GO:0005524
Solyc12g055970.2	GO:0005515; GO:0008270
Solyc04g074420.1	GO:0003700; GO:0006355
Solyc04g080970.3	GO:0003677; GO:0003899; GO:0006351
Solyc01g068500.3	GO:0005515
Solyc01g068040.1	GO:0006508; GO:0008237
Solyc06g072290.3	GO:0003677
Solyc11g011050.2	GO:0004672; GO:0006468
Solyc12g005250.2	GO:0009611; GO:0009694; GO:0009864; GO:0080123
Solyc12g057030.2	GO:0003735; GO:0005840; GO:0006412
Solyc04g079930.3	GO:0009522; GO:0009579; GO:0015979; GO:0016021
Solyc09g014970.3	GO:0003676
Solyc02g067970.3	GO:0003824; GO:0005992
Solyc03g115870.3	GO:0016702; GO:0046872; GO:0055114
Solyc10g045380.2	GO:0003700; GO:0006355
Solyc02g089320.3	GO:0004842; GO:0016567
Solyc03g113880.3	GO:0004601; GO:0055114
Solyc06g068640.2	GO:0003677
Solyc03g117590.3	GO:0006631; GO:0045300; GO:0055114
Solyc12g088670.2	GO:0005524
Solyc03g044880.3	GO:0003676
Solyc03g116847.1	GO:0006629; GO:0008081
Solyc04g071890.3	GO:0004525; GO:0006396
Solyc06g062370.3	GO:0005525; GO:0005622; GO:0006886
Solyc08g068490.3	GO:0005215; GO:0016021; GO:0055085
Solyc09g009150.1	GO:0006457; GO:0051082
Solyc06g035560.2	GO:0004601; GO:0006979; GO:0020037; GO:0055114
Solyc03g116520.1	GO:0005515
Solyc06g062670.3	GO:0003677; GO:0005634
Solyc08g044370.2	GO:0016787
Solyc06g082390.3	GO:0004722; GO:0006470
Solyc10g006690.3	GO:0004857
Solyc02g077050.3	GO:0003333; GO:0015171; GO:0016020
Solyc11g010390.1	GO:0003700; GO:0005634; GO:0006355
Solyc00g125275.1	GO:0046872
Solyc11g021020.1	GO:0008270
Solyc02g080410.3	GO:0000148; GO:0003843; GO:0006075; GO:0016020
Solyc01g108910.3	GO:0003735; GO:0005840; GO:0006412
Solyc03g113960.3	GO:0003677
Solyc02g069200.3	GO:0005515
Solyc03g095770.3	GO:0000166
Solyc09g074430.3	GO:0003723
Solyc06g035700.1	GO:0004601; GO:0042744
Solyc03g113920.3	GO:0004601; GO:0042744
Solyc03g119100.2	GO:0005975; GO:0006098; GO:0017057
Solyc06g083850.3	GO:0046982
Solyc10g084770.2	GO:0005509
Solyc08g074990.2	GO:0000049
Solyc00g179240.2	GO:0000166
Solyc01g110310.3	GO:0015078; GO:0015986; GO:0045263
Solyc09g083280.3	GO:0005524; GO:0006457; GO:0051082
Solyc02g062960.3	GO:0004672; GO:0005524; GO:0006468
Solyc08g075680.3	GO:0004822
Solyc01g111590.3	GO:0004672; GO:0005524; GO:0006468
Solyc08g076250.2	GO:0005524; GO:0016020; GO:0017038
Solyc04g074410.2	GO:0003677
Solyc01g087060.3	GO:0003700; GO:0006355
Solyc03g031940.3	GO:0005509
Solyc07g056570.1	GO:0000786; GO:0003677
Solyc05g026480.2	GO:0003677
Solyc04g078210.2	GO:0016491; GO:0055114
Solyc05g012430.1	GO:0008270
Solyc06g005210.2	GO:0004386; GO:0005524
Solyc09g076050.3	GO:0004185; GO:0006508
Solyc06g009783.1	GO:0003723; GO:0043631
Solyc04g081690.2	GO:0003899; GO:0006351; GO:0046983
Solyc04g077540.3	GO:0003824; GO:0008152
Solyc05g007870.2	GO:0006511
Solyc01g105410.3	GO:0019825
Solyc07g053400.1	GO:0008171
Solyc09g064230.2	GO:0005515
Solyc06g076740.2	GO:0007165
Solyc08g078950.3	GO:0005515; GO:0008270
Solyc08g066890.3	GO:0003723; GO:0006396; GO:0008173
Solyc10g074720.2	GO:0003746; GO:0005525; GO:0005622; GO:0006414
Solyc01g060415.1	GO:0006812; GO:0015299; GO:0016021; GO:0055085
Solyc09g061700.3	GO:0005515
